# rbins	dsigma	yerr
3.437907999999999936e-02 3.199762899999999490e+02 1.423869200000000035e+02
5.448717000000000144e-02 1.267583300000000008e+02 5.167665999999999826e+01
8.635634000000000365e-02 1.755236855795738791e+02 2.654839000000000127e+01
1.368656000000000039e-01 1.563764008940826784e+02 1.641997000000000284e+01
2.169172999999999796e-01 9.547188551447692362e+01 1.062751000000000090e+01
3.437908000000000075e-01 7.239757644779909640e+01 6.919299999999999784e+00
5.448716999999999588e-01 5.818950332051945651e+01 4.187590000000000146e+00
8.635633999999999810e-01 3.846878293229521262e+01 2.675170000000000048e+00
1.368655999999999873e+00 2.390059172592224357e+01 1.651379999999999848e+00
2.169172999999999796e+00 1.504196369092798058e+01 1.077210000000000001e+00
