# rbins	dsigma	yerr
3.101871999999999963e-02 1.105716051970268410e+02 6.452635999999999683e+01
4.916136000000000117e-02 1.324569938896973440e+02 2.973689999999999856e+01
7.791549999999999865e-02 7.329310407200513566e+01 1.706830000000000069e+01
1.234876999999999919e-01 7.069421049776597954e+01 1.069999999999999929e+01
1.957148999999999972e-01 2.710181536563288418e+01 6.905710000000000903e+00
3.101872000000000518e-01 2.437590487537760708e+01 4.290140000000000065e+00
4.916135999999999284e-01 2.382614404623379301e+01 2.935719999999999885e+00
7.791550000000000420e-01 1.250337537765856233e+01 1.762970000000000148e+00
1.234877000000000002e+00 6.535431480854713371e+00 1.109750000000000014e+00
1.957149000000000250e+00 3.323741972657325405e+00 6.892300000000000093e-01
