# rbins	dsigma	yerr
3.308662999999999882e-02 6.856098000000000070e+01 1.150739600000000138e+02
5.243877999999999734e-02 1.477148044650232919e+02 4.194305999999999557e+01
8.310985999999999374e-02 1.463762833022721566e+02 2.819764000000000337e+01
1.317202999999999846e-01 7.417906812929996363e+01 1.624227000000000132e+01
2.087624999999999897e-01 8.196086071147047392e+01 1.019236000000000075e+01
3.308663000000000021e-01 5.307595062306616285e+01 6.475789999999999935e+00
5.243878000000000705e-01 3.310691718232200742e+01 3.945340000000000291e+00
8.310985999999999096e-01 3.175145102518530749e+01 2.532920000000000282e+00
1.317203000000000124e+00 1.711028170413569427e+01 1.578889999999999905e+00
2.087625000000000064e+00 9.521100344810326632e+00 1.020710000000000006e+00
