# rbins	dsigma	yerr
3.179418999999999995e-02 3.329465299999999957e+02 9.740718000000001098e+01
5.039039000000000018e-02 1.021881062279020256e+02 4.208897000000000332e+01
7.986339000000000632e-02 1.187230533685331011e+02 2.327961000000000169e+01
1.265748999999999902e-01 9.959706007055002885e+01 1.548707999999999885e+01
2.006078000000000028e-01 5.293995808481498955e+01 9.533200000000000784e+00
3.179419000000000550e-01 4.120927761541968692e+01 5.977130000000000720e+00
5.039039000000000712e-01 2.250233525258150280e+01 3.600730000000000430e+00
7.986339000000000077e-01 2.159936452070408208e+01 2.204190000000000094e+00
1.265749000000000013e+00 1.249193950258576713e+01 1.475570000000000048e+00
2.006078000000000028e+00 7.296661018579193581e+00 9.794700000000000628e-01
